"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2017止
的累積開支
$'000","2017-18
修訂預算開支
$'000","結餘
$'000"
"45","非經營帳目","603","機器、車輛及設備","8F9","更換一號指揮船",120000,0,0,120000
"45","非經營帳目","603","機器、車輛及設備","8FA","更換二號指揮船",120000,0,0,120000
"47","經營帳目","700","一般非經常開支","801","在自修室及青少年服務中心提供公共Wi-Fi服務",25300,0,1740,23560
"47","經營帳目","700","一般非經常開支","877","協助有需要學生上網",220000,149821,31537,38642
"47","經營帳目","700","一般非經常開支","894","中學資訊科技增潤計劃",75000,18832,10479,45689
"49","經營帳目","700","一般非經常開支","818","為固定攤位小販區小販推行的資助計劃",230000,164969,43300,21731
"53","經營帳目","700","一般非經常開支","802","香港藝術發展局在Genesis推行藝術空間計劃",8720,5329,400,2991
"53","經營帳目","700","一般非經常開支","808","國際青年交流計劃",100000,0,2000,98000
"53","經營帳目","700","一般非經常開支","809","推動藝園和學校合作",30240,0,0,30240
"53","經營帳目","700","一般非經常開支","824","多元卓越獎學金",300000,12823,14871,272306
"53","經營帳目","700","一般非經常開支","876","粵劇發展基金",139000,69000,0,70000
"53","經營帳目","700","一般非經常開支","894","青年發展基金",300000,150,13445,286405
"53","經營帳目","700","一般非經常開支","895","藝術發展配對資助試驗計劃",800000,22533,58728,718739
"53","經營帳目","700","一般非經常開支","933","2019北京國際花卉展",7584,0,0,7584
"53","經營帳目","700","一般非經常開支","991","啟德體育園區的營運顧問研究",40000,23832,10240,5928
"53","非經營帳目","942","香港演藝學院","805","為特殊用途實驗室與工作室提供和安裝專業設備",23793,0,8000,15793
"55","經營帳目","700","一般非經常開支","480","電影發展基金",540000,348668,46999,144333
"55","經營帳目","700","一般非經常開支","866","創意智優計劃",2000000,607057,141378,1251565
"55","經營帳目","700","一般非經常開支","897","香港設計中心",268600,221197,24435,22968
"60","非經營帳目","603","機器、車輛及設備","801","為青馬管制區購置一輛橋樑檢查工作車",13780,0,2756,11024
"60","非經營帳目","603","機器、車輛及設備","802","為青沙管制區購置一輛橋樑檢查工作車",13780,0,2756,11024
"63","經營帳目","700","一般非經常開支","801","區議員的開設辦事處開支償還款額及結束辦事處開支償還款額(2012-2015任期)",49000,33071,250,15679
"63","經營帳目","700","一般非經常開支","803","社區重點項目計劃(深水埗區)－石硤尾社區服務中心項目的非工程部分",5960,684,702,4574
"63","經營帳目","700","一般非經常開支","806","社區重點目計劃有關籌備階段的公眾參與活動和非工程部分的相關研究",9000,6361,500,2139
"63","經營帳目","700","一般非經常開支","807","社區重點項目計劃(黃大仙區)－黃大仙廣場擴闊及改善工程項目的非工程部分",1161,718,387,56
"63","經營帳目","700","一般非經常開支","817","區議員的開設辦事處開支償還款額及結束辦事處開支償還款額(2016–2019任期)",47090,12499,6700,27891
"63","經營帳目","700","一般非經常開支","822","社區重點項目計劃(葵青區)－加強社區健康服務項目的非工程部分",86800,26177,15894,44729
